Date,Market,Grade,Min Price (Rs./ Qtl),Max Price (Rs./Qtl),Modal Price (Rs./Qtl),Festival,is_amavasya,is_ekadashi,is_purnima,Tithi,Nakshatra,Day,Month,Year,Week,Temp Max (°C),Rain (mm),Heat Stress,Rain Alert,Agro Advisory
2023-08-01,DEVALA,OTHER,800.0,1500,1350.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,30.2,1.7,No,No,Normal conditions
2023-08-01,UMRANE,RED,500.0,1400,1250.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,27.0,2.9,No,No,Normal conditions
2023-08-01,CHANDVAD,OTHER,510.0,1476,1350.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,27.5,1.8,No,No,Normal conditions
2023-08-01,NANDGAON,RED,290.0,1399,1250.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,30.1,1.9,No,No,Normal conditions
2023-08-01,LASALGAON(VINCHUR),OTHER,600.0,1500,1400.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,28.1,3.8,No,No,Normal conditions
2023-08-01,KALVAN,RED,250.0,1235,850.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,27.3,1.7,No,No,Normal conditions
2023-08-01,PIMPALGAON,POLE,300.0,1425,1250.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,27.1,2.7,No,No,Normal conditions
2023-08-01,SINNER,RED,300.0,1315,1175.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,26.6,2.5,No,No,Normal conditions
2023-08-01,KALVAN,OTHER,400.0,1500,1001.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,27.3,1.7,No,No,Normal conditions
2023-08-01,NAMPUR,RED,170.0,1300,1100.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,28.7,0.9,No,No,Normal conditions
2023-08-01,PIMPALGAON BASWANT(SAYKHEDA),OTHER,400.0,1363,1250.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,26.2,4.1,No,No,Normal conditions
2023-08-01,SATANA,RED,300.0,1375,1155.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,25.4,5.1,No,Moderate,Good moisture
2023-08-01,NASIK,OTHER,500.0,1451,1300.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,26.6,3.3,No,No,Normal conditions
2023-08-01,NAMPUR,OTHER,300.0,1375,1200.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,28.7,0.9,No,No,Normal conditions
2023-08-01,DEVALA,RED,350.0,1325,1200.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,30.2,1.7,No,No,Normal conditions
2023-08-01,DINDORI(VANI),OTHER,1251.0,1700,1485.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,26.5,4.0,No,No,Normal conditions
2023-08-01,LASALGAON(NIPHAD),RED,700.0,1299,1200.0,"Shravana Purnima / Raksha Bandhan, Narali Purnima / Coconut Festival",0,0,1,Shukla Purnima,Uttara Ashadha,1,8,2023,31,28.1,3.8,No,No,Normal conditions
2023-08-02,MANMAD,OTHER,420.0,1438,1300.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,28.5,0.7,No,No,Normal conditions
2023-08-02,LASALGAON,RED,700.0,1415,1351.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,27.8,3.3,No,No,Normal conditions
2023-08-02,UMRANE,OTHER,600.0,1470,1250.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,27.0,2.6,No,No,Normal conditions
2023-08-02,NANDGAON,OTHER,301.0,1466,1250.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,29.4,0.6,No,No,Normal conditions
2023-08-02,LASALGAON(NIPHAD),OTHER,500.0,1339,1280.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,27.8,3.3,No,No,Normal conditions
2023-08-02,LASALGAON(VINCHUR),RED,500.0,1351,1280.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,27.8,3.3,No,No,Normal conditions
2023-08-02,PIMPALGAON,OTHER,300.0,1561,1400.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,26.6,2.6,No,No,Normal conditions
2023-08-02,DEVALA,OTHER,600.0,1405,1280.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,30.0,1.9,No,No,Normal conditions
2023-08-02,CHANDVAD,RED,511.0,1419,1200.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,27.5,0.7,No,No,Normal conditions
2023-08-02,NASIK,POLE,600.0,1650,1450.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,26.4,4.5,No,No,Normal conditions
2023-08-02,MANMAD,RED,300.0,1320,1100.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,28.5,0.7,No,No,Normal conditions
2023-08-02,LASALGAON,OTHER,800.0,1500,1420.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,27.8,3.3,No,No,Normal conditions
2023-08-02,NANDGAON,RED,142.0,1386,1250.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,29.4,0.6,No,No,Normal conditions
2023-08-02,PIMPALGAON,POLE,400.0,1396,1250.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,26.6,2.6,No,No,Normal conditions
2023-08-02,PIMPALGAON,OTHER,300.0,1580,1350.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,26.6,2.6,No,No,Normal conditions
2023-08-02,MANMAD,RED,270.0,1360,1100.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,28.5,0.7,No,No,Normal conditions
2023-08-02,LASALGAON(VINCHUR),OTHER,500.0,1461,1400.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,27.8,3.3,No,No,Normal conditions
2023-08-02,UMRANE,RED,600.0,1400,1250.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,27.0,2.6,No,No,Normal conditions
2023-08-02,DEVALA,RED,350.0,1325,1225.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,30.0,1.9,No,No,Normal conditions
2023-08-02,CHANDVAD,OTHER,600.0,1523,1330.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,27.5,0.7,No,No,Normal conditions
2023-08-02,LASALGAON,RED,600.0,1500,1325.0,,0,0,0,Krishna Pratipada,Shravana,2,8,2023,31,27.8,3.3,No,No,Normal conditions
2023-08-03,UMRANE,OTHER,700.0,1490,1300.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,25.4,1.8,No,No,Normal conditions
2023-08-03,KALVAN,RED,250.0,1365,1001.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,26.4,1.2,No,No,Normal conditions
2023-08-03,SATANA,RED,200.0,1445,1150.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,24.0,3.2,No,No,Normal conditions
2023-08-03,PIMPALGAON BASWANT(SAYKHEDA),RED,300.0,1302,1125.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,26.0,2.7,No,No,Normal conditions
2023-08-03,SINNER,RED,200.0,1302,1150.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,26.0,1.5,No,No,Normal conditions
2023-08-03,MANMAD,OTHER,420.0,1492,1300.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,26.8,0.5,No,No,Normal conditions
2023-08-03,NANDGAON,OTHER,300.0,1461,1350.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,28.0,0.7,No,No,Normal conditions
2023-08-03,LASALGAON(NIPHAD),OTHER,500.0,1414,1300.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,27.0,2.5,No,No,Normal conditions
2023-08-03,DINDORI(VANI),OTHER,1100.0,1720,1435.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,25.8,2.1,No,No,Normal conditions
2023-08-03,LASALGAON(NIPHAD),RED,600.0,1401,1275.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,27.0,2.5,No,No,Normal conditions
2023-08-03,CHANDVAD,RED,581.0,1430,1230.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,25.6,1.1,No,No,Normal conditions
2023-08-03,PIMPALGAON BASWANT(SAYKHEDA),OTHER,400.0,1381,1225.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,26.0,2.7,No,No,Normal conditions
2023-08-03,YEOLA,OTHER,300.0,1501,1260.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,27.5,3.4,No,No,Normal conditions
2023-08-03,LASALGAON(VINCHUR),RED,500.0,1335,1250.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,27.0,2.5,No,No,Normal conditions
2023-08-03,NAMPUR,OTHER,300.0,1375,1100.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,26.7,0.3,No,No,Normal conditions
2023-08-03,DEVALA,OTHER,500.0,1335,1250.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,28.1,0.5,No,No,Normal conditions
2023-08-03,NAMPUR,RED,500.0,1375,1100.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,26.7,0.3,No,No,Normal conditions
2023-08-03,YEOLA,RED,300.0,1490,1270.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,27.5,3.4,No,No,Normal conditions
2023-08-03,MANMAD,RED,305.0,1465,1300.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,26.8,0.5,No,No,Normal conditions
2023-08-03,CHANDVAD,RED,760.0,1552,1350.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,25.6,1.1,No,No,Normal conditions
2023-08-03,LASALGAON,OTHER,700.0,1600,1490.0,,0,0,0,Krishna Dwitiya,Dhanishtha,3,8,2023,31,27.0,2.5,No,No,Normal conditions
2023-08-04,PIMPALGAON,OTHER,300.0,1605,1400.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,26.4,3.0,No,No,Normal conditions
2023-08-04,LASALGAON,RED,600.0,1647,1491.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,27.1,2.7,No,No,Normal conditions
2023-08-04,LASALGAON(NIPHAD),RED,700.0,1575,1500.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,27.1,2.7,No,No,Normal conditions
2023-08-04,YEOLA,RED,351.0,1540,1350.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,26.7,2.3,No,No,Normal conditions
2023-08-04,PIMPALGAON BASWANT(SAYKHEDA),RED,400.0,1400,1150.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,26.6,2.1,No,No,Normal conditions
2023-08-04,LASALGAON(VINCHUR),OTHER,650.0,1640,1450.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,27.1,2.7,No,No,Normal conditions
2023-08-04,LASALGAON(VINCHUR),RED,600.0,1576,1400.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,27.1,2.7,No,No,Normal conditions
2023-08-04,CHANDVAD,OTHER,956.0,1677,1450.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,25.8,3.0,No,No,Normal conditions
2023-08-04,PIMPALGAON BASWANT(SAYKHEDA),OTHER,400.0,1411,1200.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,26.6,2.1,No,No,Normal conditions
2023-08-04,PIMPALGAON,POLE,400.0,1640,1450.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,26.4,3.0,No,No,Normal conditions
2023-08-04,LASALGAON(NIPHAD),OTHER,600.0,1562,1460.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,27.1,2.7,No,No,Normal conditions
2023-08-04,DINDORI(VANI),OTHER,1000.0,1635,1351.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,26.4,3.0,No,No,Normal conditions
2023-08-04,LASALGAON,RED,600.0,1752,1410.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,27.1,2.7,No,No,Normal conditions
2023-08-04,KALVAN,RED,500.0,1575,1150.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,26.6,4.8,No,No,Normal conditions
2023-08-04,PIMPALGAON BASWANT(SAYKHEDA),OTHER,300.0,1500,1400.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,26.6,2.1,No,No,Normal conditions
2023-08-04,KALVAN,OTHER,400.0,1615,1101.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,26.6,4.8,No,No,Normal conditions
2023-08-04,MANMAD,RED,407.0,1600,1450.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,26.3,1.1,No,No,Normal conditions
2023-08-04,CHANDVAD,OTHER,800.0,1725,1460.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,25.8,3.0,No,No,Normal conditions
2023-08-04,SATANA,RED,200.0,1515,1325.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,24.3,6.1,No,Moderate,Good moisture
2023-08-04,LASALGAON(VINCHUR),OTHER,700.0,1680,1500.0,,0,0,0,Krishna Tritiya,Shatabhisha,4,8,2023,31,27.1,2.7,No,No,Normal conditions
2023-08-05,DEVALA,OTHER,500.0,1485,1375.0,,0,0,0,Krishna Chaturthi,Uttara Bhadrapada,5,8,2023,31,29.9,0.9,No,No,Normal conditions
2023-08-05,LASALGAON(NIPHAD),RED,671.0,1619,1500.0,,0,0,0,Krishna Chaturthi,Uttara Bhadrapada,5,8,2023,31,28.0,3.6,No,No,Normal conditions
2023-08-05,LASALGAON(NIPHAD),OTHER,700.0,1550,1460.0,,0,0,0,Krishna Chaturthi,Uttara Bhadrapada,5,8,2023,31,28.0,3.6,No,No,Normal conditions
2023-08-05,YEOLA,RED,300.0,1590,1451.0,,0,0,0,Krishna Chaturthi,Uttara Bhadrapada,5,8,2023,31,28.3,2.0,No,No,Normal conditions
2023-08-05,PIMPALGAON,POLE,300.0,1730,1500.0,,0,0,0,Krishna Chaturthi,Uttara Bhadrapada,5,8,2023,31,27.1,2.9,No,No,Normal conditions
2023-08-05,SINNER,RED,200.0,1441,1300.0,,0,0,0,Krishna Chaturthi,Uttara Bhadrapada,5,8,2023,31,26.1,2.4,No,No,Normal conditions
2023-08-05,NAMPUR,OTHER,250.0,1635,1400.0,,0,0,0,Krishna Chaturthi,Uttara Bhadrapada,5,8,2023,31,28.5,0.8,No,No,Normal conditions
2023-08-05,NAMPUR,RED,300.0,1550,1300.0,,0,0,0,Krishna Chaturthi,Uttara Bhadrapada,5,8,2023,31,28.5,0.8,No,No,Normal conditions
2023-08-05,DINDORI(VANI),OTHER,1301.0,2000,1551.0,,0,0,0,Krishna Chaturthi,Uttara Bhadrapada,5,8,2023,31,27.0,3.6,No,No,Normal conditions
2023-08-05,LASALGAON(VINCHUR),RED,700.0,1620,1500.0,,0,0,0,Krishna Chaturthi,Uttara Bhadrapada,5,8,2023,31,28.0,3.6,No,No,Normal conditions
2023-08-05,DEVALA,RED,230.0,1475,1350.0,,0,0,0,Krishna Chaturthi,Uttara Bhadrapada,5,8,2023,31,29.9,0.9,No,No,Normal conditions
2023-08-05,LASALGAON,OTHER,700.0,1651,1451.0,,0,0,0,Krishna Chaturthi,Uttara Bhadrapada,5,8,2023,31,28.0,3.6,No,No,Normal conditions
2023-08-07,PIMPALGAON BASWANT(SAYKHEDA),RED,400.0,1466,1350.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,27.3,1.4,No,No,Normal conditions
2023-08-07,PIMPALGAON,OTHER,300.0,1680,1450.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,27.4,1.3,No,No,Normal conditions
2023-08-07,CHANDVAD,RED,700.0,1620,1350.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,27.5,0.4,No,No,Normal conditions
2023-08-07,DINDORI(VANI),RED,1300.0,2100,1650.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,27.1,1.4,No,No,Normal conditions
2023-08-07,CHANDVAD,RED,700.0,1625,1470.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,27.5,0.4,No,No,Normal conditions
2023-08-07,KALVAN,RED,400.0,1655,1201.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,27.4,0.7,No,No,Normal conditions
2023-08-07,NANDGAON,OTHER,350.0,1670,1550.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,29.7,0.1,No,No,Normal conditions
2023-08-07,DEVALA,OTHER,600.0,1600,1475.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,29.6,0.2,No,No,Normal conditions
2023-08-07,LASALGAON(NIPHAD),OTHER,900.0,1691,1525.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,27.9,1.8,No,No,Normal conditions
2023-08-07,SATANA,RED,300.0,1565,1380.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,26.0,1.0,No,No,Normal conditions
2023-08-07,MANMAD,RED,500.0,1692,1500.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,28.4,0.0,No,No,Normal conditions
2023-08-07,NAMPUR,OTHER,500.0,1600,1450.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,28.5,0.5,No,No,Normal conditions
2023-08-07,LASALGAON,RED,700.0,1780,1710.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,27.9,1.8,No,No,Normal conditions
2023-08-07,DEVALA,RED,300.0,1635,1500.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,29.6,0.2,No,No,Normal conditions
2023-08-07,LASALGAON(VINCHUR),RED,700.0,1700,1600.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,27.9,1.8,No,No,Normal conditions
2023-08-07,NANDGAON,RED,200.0,1603,1550.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,29.7,0.1,No,No,Normal conditions
2023-08-07,UMRANE,OTHER,601.0,1600,1450.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,27.0,1.7,No,No,Normal conditions
2023-08-07,LASALGAON(VINCHUR),OTHER,700.0,1661,1550.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,27.9,1.8,No,No,Normal conditions
2023-08-07,KALVAN,OTHER,400.0,1655,1201.0,,0,0,0,Krishna Saptami,Ashwini,7,8,2023,32,27.4,0.7,No,No,Normal conditions
2023-08-08,PIMPALGAON BASWANT(SAYKHEDA),OTHER,450.0,1600,1451.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,27.1,1.6,No,No,Normal conditions
2023-08-08,PIMPALGAON BASWANT(SAYKHEDA),RED,500.0,1712,1300.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,27.1,1.6,No,No,Normal conditions
2023-08-08,CHANDVAD,OTHER,562.0,1700,1450.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,27.4,0.4,No,No,Normal conditions
2023-08-08,YEOLA,RED,500.0,1676,1500.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,28.3,1.2,No,No,Normal conditions
2023-08-08,PIMPALGAON,OTHER,400.0,1731,1500.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,27.5,1.6,No,No,Normal conditions
2023-08-08,SINNER,RED,200.0,1545,1400.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,26.9,0.7,No,No,Normal conditions
2023-08-08,LASALGAON,OTHER,600.0,1711,1600.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,28.0,1.8,No,No,Normal conditions
2023-08-08,NAMPUR,RED,300.0,1550,1400.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,28.6,0.2,No,No,Normal conditions
2023-08-08,PIMPALGAON,POLE,300.0,1801,1600.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,27.5,1.6,No,No,Normal conditions
2023-08-08,UMRANE,RED,601.0,1700,1500.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,26.9,1.6,No,No,Normal conditions
2023-08-08,LASALGAON(NIPHAD),RED,1001.0,1680,1600.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,28.0,1.8,No,No,Normal conditions
2023-08-08,NANDGAON,OTHER,200.0,1689,1550.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,29.5,0.6,No,No,Normal conditions
2023-08-08,DINDORI(VANI),OTHER,1200.0,2131,1611.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,27.1,1.7,No,No,Normal conditions
2023-08-08,MANMAD,RED,400.0,1671,1500.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,28.6,0.1,No,No,Normal conditions
2023-08-08,PIMPALGAON,POLE,500.0,1899,1750.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,27.5,1.6,No,No,Normal conditions
2023-08-08,LASALGAON(NIPHAD),OTHER,960.0,1697,1600.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,28.0,1.8,No,No,Normal conditions
2023-08-08,LASALGAON(NIPHAD),RED,1151.0,1753,1650.0,Krishna Janmashtami,0,0,0,Krishna Ashtami,Bharani,8,8,2023,32,28.0,1.8,No,No,Normal conditions
2023-08-09,LASALGAON(VINCHUR),RED,700.0,1812,1700.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,28.0,2.5,No,No,Normal conditions
2023-08-09,NANDGAON,RED,201.0,1641,1550.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,30.2,1.6,No,No,Normal conditions
2023-08-09,CHANDVAD,OTHER,1000.0,1750,1530.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,27.5,0.8,No,No,Normal conditions
2023-08-09,NAMPUR,RED,500.0,1655,1450.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,28.8,0.7,No,No,Normal conditions
2023-08-09,SATANA,RED,200.0,1590,1335.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,26.5,1.1,No,No,Normal conditions
2023-08-09,LASALGAON,RED,700.0,1800,1700.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,28.0,2.5,No,No,Normal conditions
2023-08-09,PIMPALGAON BASWANT(SAYKHEDA),OTHER,600.0,1720,1560.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,27.0,1.3,No,No,Normal conditions
2023-08-09,LASALGAON(VINCHUR),OTHER,700.0,1661,1550.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,28.0,2.5,No,No,Normal conditions
2023-08-09,DEVALA,OTHER,800.0,1605,1500.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,30.1,1.4,No,No,Normal conditions
2023-08-09,CHANDVAD,RED,800.0,1765,1550.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,27.5,0.8,No,No,Normal conditions
2023-08-09,YEOLA,RED,500.0,1726,1570.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,28.5,2.2,No,No,Normal conditions
2023-08-09,LASALGAON,OTHER,800.0,1730,1580.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,28.0,2.5,No,No,Normal conditions
2023-08-09,NAMPUR,OTHER,500.0,1610,1450.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,28.8,0.7,No,No,Normal conditions
2023-08-09,PIMPALGAON,OTHER,1200.0,1844,1650.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,27.2,1.7,No,No,Normal conditions
2023-08-09,DEVALA,RED,350.0,1665,1550.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,30.1,1.4,No,No,Normal conditions
2023-08-09,UMRANE,RED,651.0,1750,1500.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,27.0,1.9,No,No,Normal conditions
2023-08-09,PIMPALGAON BASWANT(SAYKHEDA),RED,400.0,1800,1525.0,,0,0,0,Krishna Navami,Krittika,9,8,2023,32,27.0,1.3,No,No,Normal conditions
2023-08-10,SINNER,RED,200.0,1594,1475.0,,0,0,0,Krishna Dashami,Rohini,10,8,2023,32,26.6,2.4,No,No,Normal conditions
2023-08-10,UMRANE,RED,701.0,1790,1680.0,,0,0,0,Krishna Dashami,Rohini,10,8,2023,32,26.5,2.7,No,No,Normal conditions
2023-08-10,DEVALA,RED,300.0,1800,1650.0,,0,0,0,Krishna Dashami,Rohini,10,8,2023,32,29.2,0.7,No,No,Normal conditions
2023-08-10,NANDGAON,RED,251.0,1761,1550.0,,0,0,0,Krishna Dashami,Rohini,10,8,2023,32,29.1,2.8,No,No,Normal conditions
2023-08-10,NAMPUR,RED,500.0,1650,1450.0,,0,0,0,Krishna Dashami,Rohini,10,8,2023,32,27.6,1.9,No,No,Normal conditions
2023-08-10,SATANA,RED,300.0,1700,1575.0,,0,0,0,Krishna Dashami,Rohini,10,8,2023,32,25.0,4.4,No,No,Normal conditions
2023-08-10,PIMPALGAON BASWANT(SAYKHEDA),RED,500.0,1775,1500.0,,0,0,0,Krishna Dashami,Rohini,10,8,2023,32,26.5,2.3,No,No,Normal conditions
2023-08-10,KALVAN,RED,700.0,1800,1300.0,,0,0,0,Krishna Dashami,Rohini,10,8,2023,32,26.8,3.7,No,No,Normal conditions
2023-08-10,PIMPALGAON,OTHER,1400.0,1949,1700.0,,0,0,0,Krishna Dashami,Rohini,10,8,2023,32,27.1,2.8,No,No,Normal conditions
2023-08-10,LASALGAON,RED,900.0,1882,1780.0,,0,0,0,Krishna Dashami,Rohini,10,8,2023,32,27.6,2.3,No,No,Normal conditions
2023-08-10,PIMPALGAON BASWANT(SAYKHEDA),OTHER,400.0,1726,1600.0,,0,0,0,Krishna Dashami,Rohini,10,8,2023,32,26.5,2.3,No,No,Normal conditions
